Màu sắc,Phân loại người bán,Tỉnh,Hãng,Dòng xe,Năm sản xuất,Số Km đã đi,Tình trạng,Hộp số,Nhiên liệu,Kiểu dáng,Số chỗ,Xuất xứ,Đối tác,Giá
đen,Bán chuyên, Hà Nội,Mitsubishi,Xpander,2022,50000,Đã sử dụng,Tự động,Xăng,Minivan (MPV),7,Đang cập nhật,No,559000000
nâu,Cá nhân, Tp Hồ Chí Minh,Nissan,Sunny,2019,52000,Đã sử dụng,Tự động,Xăng,Sedan,5,Hàn Quốc,No,335000000
đen,Cá nhân, Tp Hồ Chí Minh,Ford,Escape,2003,50000,Đã sử dụng,Tự động,Xăng,SUV / Cross over,5,Việt Nam,No,106000000
đen,Cá nhân, Tp Hồ Chí Minh,Hyundai,Accent,2021,42,Đã sử dụng,Tự động,Xăng,Sedan,4,Hàn Quốc,No,450000000
đỏ,Bán chuyên, Hà Nội,Ford,Ranger,2022,51000,Đã sử dụng,Tự động,Dầu,SUV / Cross over,5,Việt Nam,No,534000000
nâu,Bán chuyên, Hà Nội,Mitsubishi,Xpander,2022,25000,Đã sử dụng,Tự động,Xăng,Minivan (MPV),7,Nước khác,No,610000000
đen,Bán chuyên, Tp Hồ Chí Minh,Toyota,Hiace,2004,100000,Đã sử dụng,Tự động,Xăng,Van,6,Nhật Bản,No,30000000
xanh dương,Bán chuyên, Hà Nội,Lexus,GX,2009,15000,Đã sử dụng,Tự động,Xăng,SUV / Cross over,8,Đang cập nhật,No,999000000
bạc,Cá nhân, Tp Hồ Chí Minh,Ford,Everest,2019,93000,Đã sử dụng,Tự động,Dầu,SUV / Cross over,7,Thái Lan,No,790000000
trắng,Bán chuyên, Hà Nội,Honda,City,2022,12000,Đã sử dụng,Tự động,Xăng,Sedan,5,Việt Nam,No,520000000
đen,Bán chuyên, Hà Nội,Mercedes Benz,E Class,2016,43000,Đã sử dụng,Tự động,Xăng,Sedan,5,Đức,No,1299999999
nâu,Cá nhân, Hà Nội,Toyota,Innova,2007,100000,Đã sử dụng,Số sàn,Xăng,Minivan (MPV),8,Việt Nam,No,210000000
be,Cá nhân, Tp Hồ Chí Minh,Vinfast,Fadil,2020,13000,Đã sử dụng,Tự động,Xăng,Hatchback,5,Việt Nam,No,320000000
đen,Bán chuyên, Tp Hồ Chí Minh,Toyota,Hiace,2004,120000,Đã sử dụng,Số sàn,Xăng,Van,16,Nhật Bản,No,30000000
xanh lá,Bán chuyên, Tp Hồ Chí Minh,Mercedes Benz,GLC Class,2023,8000,Đã sử dụng,Tự động,Xăng,SUV / Cross over,5,Việt Nam,No,2549000000
đen,Bán chuyên, Cần Thơ,Ford,Ranger,2017,120,Đã sử dụng,Số sàn,Dầu,Pick-up (bán tải),5,Thái Lan,No,375000000
đen,Bán chuyên, Cần Thơ,Toyota,Fortuner,2012,100000,Đã sử dụng,Số sàn,Dầu,SUV / Cross over,7,Đang cập nhật,No,445000000
đỏ,Cá nhân, Tiền Giang,Hyundai,Elantra,2020,35000,Đã sử dụng,Tự động,Xăng,Sedan,5,Việt Nam,No,479000000
trắng,Bán chuyên, Khánh Hòa,Toyota,Yaris,2023,100000,Mới,Tự động,Xăng,SUV / Cross over,5,Nước khác,No,657000000
đỏ,Bán chuyên, Hà Nội,Kia,Morning,2019,43000,Đã sử dụng,Tự động,Xăng,Hatchback,5,Đang cập nhật,No,325000000
đen,Bán chuyên, Hà Nội,Audi,A6,2015,30000,Đã sử dụng,Tự động,Xăng,Sedan,4,Đang cập nhật,No,950000000
đen,Bán chuyên, Tp Hồ Chí Minh,Toyota,Crown,1995,120000,Đã sử dụng,Số sàn,Xăng,Sedan,4,Nhật Bản,No,36000000
đen,Bán chuyên, Tp Hồ Chí Minh,Mercedes Benz,GLC Class,2022,8999,Đã sử dụng,Tự động,Xăng,SUV / Cross over,5,Việt Nam,No,2109000000
đen,Bán chuyên, Hà Nội,Vinfast,3,2021,25000,Đã sử dụng,Tự động,Xăng,Sedan,5,Đang cập nhật,No,1580000000
đen,Bán chuyên, Hà Nội,Mercedes Benz,CLA Class,2015,50000,Đã sử dụng,Tự động,Xăng,Sedan,5,Đức,No,666666666
đen,Bán chuyên, Đồng Nai,Honda,City,2021,29000,Đã sử dụng,Tự động,Xăng,Sedan,5,Việt Nam,No,488000000
đen,Bán chuyên, Hà Nội,BMW,7 Series,2014,80000,Đã sử dụng,Tự động,Xăng,Sedan,5,Đang cập nhật,No,950000000
đen,Bán chuyên, Hà Nội,Bentley,Flying Spur,2009,40000,Đã sử dụng,Tự động,Xăng,Sedan,4,Nước khác,No,2500000000
xám,Cá nhân, Hà Nội,Kia,Cerato,2020,25000,Đã sử dụng,Tự động,Xăng,Sedan,5,Việt Nam,No,506000000
