Màu sắc,Phân loại người bán,Tỉnh,Hãng,Dòng xe,Năm sản xuất,Số Km đã đi,Hộp số,Kiểu dáng,Xuất xứ,Giá
11,0,12,30,245,2022,50000,4,3,7,559000000
4,1,34,31,211,2019,52000,4,7,0,335000000
11,1,34,11,80,2003,50000,4,6,6,106000000
11,1,34,16,25,2021,42,4,7,0,450000000
12,0,12,11,185,2022,51000,4,6,6,534000000
4,0,12,30,245,2022,25000,4,3,3,610000000
11,0,34,39,116,2004,100000,4,8,2,30000000
8,0,12,23,101,2009,15000,4,6,7,999000000
1,1,34,11,81,2019,93000,4,6,4,790000000
5,0,12,15,59,2022,12000,4,7,6,520000000
11,0,12,28,73,2016,43000,4,7,9,1299999999
4,1,12,39,120,2007,100000,3,3,6,210000000
0,1,34,40,84,2020,13000,4,1,6,320000000
11,0,34,39,116,2004,120000,3,8,2,30000000
9,0,34,28,95,2023,8000,4,6,6,2549000000
11,0,9,11,185,2017,120,3,5,4,375000000
11,0,9,39,90,2012,100000,3,6,7,445000000
12,1,33,16,77,2020,35000,4,7,6,479000000
5,0,17,39,247,2023,100000,4,6,3,657000000
12,0,12,21,151,2019,43000,4,1,7,325000000
11,0,12,1,22,2015,30000,4,7,7,950000000
11,0,34,39,68,1995,120000,3,7,2,36000000
11,0,34,28,95,2022,8999,4,6,6,2109000000
11,0,12,40,3,2021,25000,4,7,7,1580000000
11,0,12,28,39,2015,50000,4,7,9,666666666
11,0,43,15,59,2021,29000,4,7,6,488000000
11,0,12,2,14,2014,80000,4,7,7,950000000
11,0,12,3,86,2009,40000,4,7,3,2500000000
10,1,12,21,54,2020,25000,4,7,6,506000000
11,1,34,2,4,2012,75000,4,7,9,500000000
11,0,12,39,65,2010,90000,4,7,6,335000000
12,0,12,16,25,2022,35000,4,7,7,449000000
11,0,2,26,13,2003,30000,3,7,2,157000000
12,0,34,11,85,2017,52000,4,1,6,325000000
11,0,12,16,193,2021,22000,4,6,7,998000000
11,0,12,39,65,2011,100000,4,7,6,365000000
6,0,12,39,230,2022,17000,4,3,3,619000000
5,0,34,30,246,2021,16200,4,3,7,575000000
11,1,34,39,72,2022,9000,4,6,6,850000000
11,0,34,11,185,2023,50000,3,5,6,669000000
10,0,34,40,140,2021,13000,4,7,6,596000000
10,1,14,16,25,2023,28000,4,7,6,490000000
11,1,2,31,239,2019,70000,4,6,7,650000000
5,0,12,15,40,2012,90000,4,6,6,415000000
5,0,12,26,3,2022,38000,4,7,6,559000000
4,0,34,15,59,2019,30000,4,7,7,435000000
4,0,12,28,148,2016,29000,4,7,9,3150000000
5,0,34,16,25,2023,500,4,7,6,458000000
12,0,12,39,66,2021,43000,4,6,4,685000000
12,0,12,16,108,2019,30,4,7,7,340000000
9,0,12,8,56,2006,120000,4,1,2,168000000
11,0,34,11,185,2020,31000,4,5,4,638000000
12,0,34,21,124,2023,3000,4,7,6,599000000
11,0,34,11,81,2020,15000,4,6,4,935000000
11,0,12,16,221,2020,45,4,6,7,700000000
4,0,34,39,90,2019,41000,4,6,7,830000000
11,1,34,11,185,2016,112792,3,5,4,350000000
11,0,12,1,22,2022,1400,4,7,9,2080000000
11,0,3,11,81,2022,33000,4,6,4,1360000000
11,1,34,40,226,2023,2400,4,6,6,890000000
11,0,12,32,2,2021,57000,4,6,3,630000000
11,0,12,6,49,2016,90000,4,6,7,410000000
5,0,34,21,124,2014,117668,4,7,6,339000000
11,0,12,39,229,2022,33000,4,3,3,658000000
11,0,12,30,220,2020,123,4,5,4,510000000
11,0,2,39,233,2014,75000,3,7,6,279000000
11,0,12,28,94,2021,14000,4,6,6,1599000000
11,0,12,11,185,2016,50000,3,5,4,360000000
4,0,34,11,185,2022,19000,4,5,6,618000000
10,0,22,39,118,2011,14744,3,5,7,295000000
11,1,34,6,69,2016,110000,4,7,7,320000000
8,1,22,6,204,2011,55000,3,1,0,62000000
11,0,34,11,85,2018,39668,4,1,6,338000000
11,0,12,11,185,2014,123,4,5,4,3500000000
4,1,0,21,200,2020,53000,3,7,7,315000000
12,0,12,26,3,2009,30000,4,7,8,225000000
11,0,3,39,31,2022,22002,3,6,6,499000000
11,0,2,16,108,2020,79000,3,7,6,49000000
11,0,12,22,183,2013,60000,4,6,1,1350000000
11,1,20,39,250,2005,100000,3,3,6,130000000
5,0,12,16,77,2021,40000,4,7,0,519000000
7,0,34,16,25,2021,16700,4,7,7,470000000
12,0,12,21,124,2016,55000,4,7,6,405000000
10,1,34,38,78,2020,44000,4,6,7,430000000
11,0,40,15,60,2007,60000,4,7,2,205000000
11,0,34,21,195,2020,32000,4,3,7,979000000
5,0,34,28,18,2013,86000,4,1,9,399000000
11,0,12,11,81,2019,60000,4,6,6,910000000
1,0,34,11,219,2022,61668,3,8,6,725000000
5,0,12,30,29,2021,60000,3,7,7,295000000
5,0,12,30,245,2021,64000,4,3,3,555000000
11,0,12,26,35,2019,68000,4,5,7,485000000
11,0,34,21,51,2023,80000,4,3,6,1429000000
11,0,34,21,124,2023,4500,4,7,7,585000000
11,0,12,30,220,2014,50000,4,5,4,340000000
11,0,12,32,2,2022,26000,4,6,3,710000000
11,0,34,16,77,2017,68000,4,7,7,405000000
11,1,12,16,30,2011,80000,4,7,6,255000000
11,0,34,16,209,2022,50000,4,3,3,524000000
11,0,12,11,81,2005,50000,3,6,6,119000000
12,0,12,11,81,2019,65000,4,6,7,860000000
11,0,34,30,245,2020,22000,4,3,3,518000000
11,1,41,16,108,2015,9999,3,1,10,190000000
11,0,12,21,50,2007,80000,4,6,0,230000000
11,0,34,21,196,2023,80000,4,6,0,594000000
11,0,34,11,81,2018,24000,4,1,4,913000000
8,1,12,21,151,2009,15000,4,1,0,119000000
12,0,34,25,10,2023,41000,4,7,2,588000000
11,0,12,16,107,2015,50000,3,5,0,380000000
11,0,12,39,48,2021,30000,4,7,3,860000000
11,0,34,16,108,2020,79000,3,1,6,39000000
7,0,12,39,233,2020,18000,4,7,6,465000000
10,0,2,39,48,2014,82000,4,7,4,539000000
0,0,12,15,40,2010,110000,4,6,7,350000000
11,0,16,30,245,2019,30500,4,3,3,489000000
11,0,12,11,185,2018,68786,3,5,4,435000000
11,0,12,39,64,2010,100000,4,7,3,340000000
11,0,34,6,69,2016,110,3,7,7,245000000
11,0,12,26,43,2021,30000,4,6,6,770000000
11,0,34,39,120,2017,75000,3,3,6,440000000
11,0,34,39,48,2022,16000,4,7,4,1100000000
10,0,12,39,48,2022,30000,4,7,4,1080000000
10,0,12,39,233,2019,69000,3,7,6,348000000
11,0,34,39,48,2022,4000,4,7,4,1235000000
11,0,34,30,245,2020,52000,4,3,3,499000000
12,0,34,28,73,2022,30,4,7,6,2839000000
0,0,34,30,245,2021,54000,4,3,2,540000000
11,0,20,39,90,2007,100000,4,6,4,425000000
11,0,12,31,213,2008,96298,4,7,2,268000000
10,0,12,15,59,2014,110000,4,7,3,345000000
11,0,12,16,108,2017,110000,3,7,7,215000000
11,0,34,21,151,2018,150,3,1,7,195000000
11,0,12,15,40,2016,14000,4,6,7,575000000
11,0,6,18,115,2005,26000,4,1,2,145000000
11,0,43,16,108,2018,50000,4,7,6,298000000
11,0,12,39,233,2018,68000,3,7,6,330000000
1,0,12,39,233,2014,62000,4,7,6,349000000
11,0,12,39,233,2008,11,3,7,7,190000000
11,0,34,21,125,2023,8000,4,7,6,835000000
11,0,34,28,73,2016,87000,4,7,6,1268000000
11,0,12,39,90,2013,110000,4,6,6,435000000
11,0,12,21,54,2016,85000,4,7,6,390000000
11,0,34,1,22,2014,30000,4,7,9,639000000
10,0,12,15,36,2019,56000,4,1,6,339000000
11,0,12,39,247,2009,100000,4,1,2,265000000
11,0,34,33,53,2010,55000,4,6,3,1449000000
